	code	preferred_name	synonymous_name	short_name	version_number	revision_number	preferred_letter_symbol	synonymous_letter_symbol	data_element_type_class	definition_class	applicable_classes	property_data_element_type	formula	definition	source_document_of_definition	note	remark	unit_of_measure	code_of_unit	alternative_unit_of_measure	code_of_alternative_unit	code_of_list_of_units	data_type	value_list_code	value_list	value_format	status_level	version_released_on	revision_released_on	obsolete_date	version_initiated_on	definition_classes	symbol	enumeration_code	class_type	superclass	higher_level_classes	properties	inherited_properties	Domain	Enumeration code	roperty_data_element_type	enumerated_list_of_terms	enumeration_code_list	applicable_properties	enumerated_list_of _terms	enumerated_list of_terms	Eenumeration_code_list	Applicable properties	Property_data_element_type	enumeration_codeProposal	property_data _element type	higher-level_classes
294	http://www.iop.rwth-aachen.de/IM/1/1/wasteSeperation	waste seperation		@WSEP	1	1				http://www.iop.rwth-aachen.de/PPC/1/1/handlingDevice				Process step to seperate the not-ok-parts from the ok-parts to avoid mixed inventory of good and bad parts.	<eigene>												Proposal						WSEP	http://www.iop.rwth-aachen.de/IM/1/1/EnumDeviceType																			
295	http://www.iop.rwth-aachen.de/PPC/1/1/wednesday	wednesday		@WED	1	1				http://www.iop.rwth-aachen.de/PPC/1/1/shiftCalendar																	Proposal						WED	http://www.iop.rwth-aachen.de/PPC/1/1/EnumWorkdays																			
296	http://www.iop.rwth-aachen.de/PPC/1/1/weightMax	maximum weight			1	1	m_max}		K01	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/scale	NON_DEPENDENT_P_DET		Maximum weight that the scale can handle and/or display.	<eigene>			kg	UAD720	g	UAA465	UAD104	REAL			NR2..4	Proposal																										
297	http://www.iop.rwth-aachen.de/PPC/1/1/workdays	workdays			1	1			A91	http://www.iop.rwth-aachen.de/PPC/1/1/shiftCalendar	http://www.iop.rwth-aachen.de/PPC/1/1/shiftCalendar	NON_DEPENDENT_P_DET		Definition of the workdays the shift calendar is valid and in use.	<eigene>			none					ENUM_STRING	http://www.iop.rwth-aachen.de/PPC/1/1/EnumWorkdays	['http://www.iop.rwth-aachen.de/PPC/1/1/monday', 'http://www.iop.rwth-aachen.de/PPC/1/1/tuesday', 'http://www.iop.rwth-aachen.de/PPC/1/1/wednesday', 'http://www.iop.rwth-aachen.de/PPC/1/1/thursday', 'http://www.iop.rwth-aachen.de/PPC/1/1/friday', 'http://www.iop.rwth-aachen.de/PPC/1/1/saturday', 'http://www.iop.rwth-aachen.de/PPC/1/1/sunday']	X	Proposal																										
298	http://www.iop.rwth-aachen.de/PPC/1/1/workShift	work shift		@WSFT	1	1				http://www.iop.rwth-aachen.de/PPC/1/1/shiftCalendar				Shift Calender that specifies the shifts on a working day	<eigene>												Proposal						WSFT	http://www.iop.rwth-aachen.de/PPC/1/1/EnumShiftType																			
299	http://www.iop.rwth-aachen.de/PPC/1/1/yearOfConstruction	year of construction	year of manufacturing		1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	NON_DEPENDENT_P_DET		The YearOfConstruction Property represents the year of construction of the machine.	EUROMAP 83			none					INTEGER			N 4	Proposal																										
code	preferred_name	synonymous_name	short_name	version_number	revision_number	preferred_letter_symbol	synonymous_letter_symbol	data_element_type_class	definition_class	applicable_classes	property_data_element_type	formula	definition	source_document_of_definition	note	remark	unit_of_measure	code_of_unit	alternative_unit_of_measure	code_of_alternative_unit	code_of_list_of_units	data_type	value_list_code	value_list	value_format	status_level	version_released_on	revision_released_on	obsolete_date	version_initiated_on	definition_classes	symbol	enumeration_code	class_type	superclass	higher_level_classes	properties	inherited_properties	Domain	Enumeration code	roperty_data_element_type	enumerated_list_of_terms	enumeration_code_list	applicable_properties	enumerated_list_of _terms	enumerated_list of_terms	Eenumeration_code_list	Applicable properties	Property_data_element_type	enumeration_codeProposal	property_data _element type	higher-level_classes
http://www.iop.rwth-aachen.de/PPC/1/1/actualCosts	actual costs			1	1			P51	http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder	http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder	NON_DEPENDENT_P_DET		The labor, material, and associated overhead costs that are charged against a job as it moves through the production process.	APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411			€					REAL_CURRENCY			NR2 2.2	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/actualDryingLevel	actual drying level			1	1			K29	http://www.iop.rwth-aachen.de/PPC/1/1/part	http://www.iop.rwth-aachen.de/PPC/1/1/plasticsGranulate	NON_DEPENDENT_P_DET		The actual drying level of a plastic granulate that is the opposite of the level of moisture.	<eigene>			mg/l	UAA827			UAD106	REAL_MEASURE			NR2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/actualDuration	actual duration			1	1	t_act}		T07		['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']	NON_DEPENDENT_P_DET		The difference between the actual start date and the current date (if the activity is still in progress) or the difference between the actual start date and the actual completion date (if the activity is completed).	APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411			min	UAA842	h	UAA525	UAD197	REAL_MEASURE			NR2..6.2	Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']																					
http://www.iop.rwth-aachen.de/PPC/1/1/actualEndDate	actual end date			1	1			A31		['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']	NON_DEPENDENT_P_DET		The date on which an activity in a project was completed.	APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411			none					DATE_TIME			X 10	Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']																					
http://www.iop.rwth-aachen.de/PPC/1/1/actaulQuantity	actual quantity	total quantity		1	1			A71	http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder	http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder	NON_DEPENDENT_P_DET		The quantities (OK parts, rejects) that occur during production are shown in this container.	VDI 5600 Part 3			1					REAL_MEASURE			NR2..8.2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/actualStartDate	actual start date			1	1			A31		['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']	NON_DEPENDENT_P_DET		The date on which an activity was started.	APICS Dictionary, 13 ed., 2010, ISBN: 9780615394411			none					DATE_TIME			X 10	Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder', 'http://www.iop.rwth-aachen.de/PPC/1/1/routing', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation']																					
http://www.iop.rwth-aachen.de/IM/1/1/adapterPlateHeightMax	maximum adapter plate height			1	1	h_adapplate,max}		T03	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine	NON_DEPENDENT_P_DET		Maximum possible height of a mold that can be mounted on the machine.	<eigene>			mm	UAA862 	cm	UAA375	UAD072	REAL			NR2..4	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/adapterPlateWidthMax	maximum adapter plate width			1	1	w_adapplate,max}		T03	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine	NON_DEPENDENT_P_DET		Maximum possible width of a mold that can be mounted on the machine.	<eigene>			mm	UAA862 	cm	UAA375	UAD072	REAL			NR2..4	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/adapterType	adapter type			1	1			A58	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	['http://www.iop.rwth-aachen.de/IM/1/1/mold', 'http://www.iop.rwth-aachen.de/IM/1/1/moldInsert', 'http://www.iop.rwth-aachen.de/IM/1/1/temperatureControlDevice']	NON_DEPENDENT_P_DET		Type of the adapter.	<eigene>			none					STRING			X..40	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/airQuantity	air quantity			1	1	q_air}		K30	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/dryer	NON_DEPENDENT_P_DET		Quantity of air the dryer can provide in an hour.	<eigene>			m³/h	UAA763			UAD239	REAL			NR2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/allowDiverseMat	allow diverse materials			1	1			A57	http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition	http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition	NON_DEPENDENT_P_DET		True if the storage of different material types is allowed. False, if the storage of different material types is not allowed, e.g., due to chemical reactions or contamination.	<eigene>			none					BOOLEAN			B 1	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/alternativeName	alternative name			1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/part	http://www.iop.rwth-aachen.de/PPC/1/1/part	NON_DEPENDENT_P_DET		An alternative name of the part.	<eigene>			none					STRING			X..40	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/apparentDensity	apparent density			1	1	ρ_apparent}		C11	http://www.iop.rwth-aachen.de/PPC/1/1/part	http://www.iop.rwth-aachen.de/PPC/1/1/plasticsGranulate	NON_DEPENDENT_P_DET		The apparent density of a free-flowing, i.e., powdery, granular or short-fibered molding compound is the quotient of the mass and the volume occupied by the molding compound poured in a certain way.	DIN 53466			g/cm³	UAA469			UAD106	REAL			NR2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/approved	approved		@APPR	1	1				['http://www.iop.rwth-aachen.de/PPC/1/1/part', 'http://www.iop.rwth-aachen.de/PPC/1/1/batch', 'http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial', 'http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition']				The part/material is approved. A manufacturing is allowed.	<eigene>												Proposal						APPR	http://www.iop.rwth-aachen.de/PPC/1/1/lcStatus																			
http://www.iop.rwth-aachen.de/PPC/1/1/availableStock	available stock			1	1			A71	http://www.iop.rwth-aachen.de/PPC/1/1/inventoryData	http://www.iop.rwth-aachen.de/PPC/1/1/inventoryData	NON_DEPENDENT_P_DET		Quantity of the material, product, commodity, and resources on stock at a given time.	VDI 2815 Part 4			1					REAL			NR2..8.2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/bag	bag		@BAG	1	1				"http://www.iop.rwth-aachen.de/PPC/1/1/storage
http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition"																	Proposal						BAG	http://www.iop.rwth-aachen.de/PPC/1/1/EnumStorageType																			
http://www.iop.rwth-aachen.de/PPC/1/1/bankHoliday	bank holiday		@BKHL	1	1				http://www.iop.rwth-aachen.de/PPC/1/1/shiftCalendar				Shift Calender that specifies the bank holidays. The production is closed or the labor get addition to the salary. 	<eigene>												Proposal						BKHL	http://www.iop.rwth-aachen.de/PPC/1/1/EnumShiftType																			
http://www.iop.rwth-aachen.de/PPC/1/1/barometricPressure	barometric pressure			1	1	p_0}		K15	['http://www.iop.rwth-aachen.de/PPC/1/1/storage', 'http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition']	['http://www.iop.rwth-aachen.de/PPC/1/1/storage', 'http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition']	NON_DEPENDENT_P_DET		The barometric pressure of the asset.	<eigene>			hPa	UAA527			UAD142	REAL_MEASURE			NR2..4.2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/baseQuantityUnit	base quantity unit	base unit of measure		1	1			A62		['http://www.iop.rwth-aachen.de/PPC/1/1/part', 'http://www.iop.rwth-aachen.de/PPC/1/1/salesDocument', 'http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition']	NON_DEPENDENT_P_DET		Unit of measure in which the stock of a material is managed.	Production Planning and Control with SAP ERP, 2013, ISBN: 9781592298686			none								X..10	Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/part', 'http://www.iop.rwth-aachen.de/PPC/1/1/salesDocument', 'http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition']																					
http://www.iop.rwth-aachen.de/PPC/1/1/batch	batch		@BTCH	1	1								The material that is or was produced during the one-time execution of a batch process.	DIN EN 61512-1												Proposal											['http://www.iop.rwth-aachen.de/PPC/1/1/batchId', 'http://www.iop.rwth-aachen.de/PPC/1/1/batchSize', 'http://www.iop.rwth-aachen.de/PPC/1/1/resourceUsage', 'http://www.iop.rwth-aachen.de/PPC/1/1/status']															
http://www.iop.rwth-aachen.de/PPC/1/1/batchId	batch identificator	lot identificator		1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/batch	http://www.iop.rwth-aachen.de/PPC/1/1/batch	NON_DEPENDENT_P_DET		Unique identification of the batch.	<eigene>			none					STRING			X..40	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/batchSize	batch size	lot size		1	1			A53	http://www.iop.rwth-aachen.de/PPC/1/1/batch	http://www.iop.rwth-aachen.de/PPC/1/1/batch	NON_DEPENDENT_P_DET		Defines the required size or scaling factor for the batch.	DIN EN 61512-2			none					REAL_MEASURE			N..7	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial	bill of material		@BOM	1	1								Listing of all the subassemblies, parts, and/or materials that are used in the production of a product including the quantity of each material required to make a product.	IEC 62264-1												Proposal											['http://www.iop.rwth-aachen.de/PPC/1/1/bomId', 'http://www.iop.rwth-aachen.de/PPC/1/1/version', 'http://www.iop.rwth-aachen.de/PPC/1/1/bomAlternative', 'http://www.iop.rwth-aachen.de/PPC/1/1/status']															
http://www.iop.rwth-aachen.de/PPC/1/1/blocked	blocked		@BLOC	1	1								The asset is utilized because of setup, production or teardown	<eigene>												Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset', 'http://www.iop.rwth-aachen.de/PPC/1/1/person']	BLOC	['http://www.iop.rwth-aachen.de/PPC/1/1/EnumTecAssetStatus', 'http://www.iop.rwth-aachen.de/PPC/1/1/EnumPersonStatus']																			
http://www.iop.rwth-aachen.de/PPC/1/1/blockedStock	blocked stock			1	1			A71	http://www.iop.rwth-aachen.de/PPC/1/1/inventoryData	http://www.iop.rwth-aachen.de/PPC/1/1/inventoryData	NON_DEPENDENT_P_DET		Quantity of stock that is not available for usage due to quality issues or inspections.	<eigene>			1					REAL			NR2..8.2	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/bomAlternative	bill of material alternative			1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial	http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial	NON_DEPENDENT_P_DET		Used to identify one bill of material (BOM) within a BOM group. One product can be represented by several (alternative) BOMs if, for example, different production processes are used for different lot size ranges. These alternative BOMs are grouped in a multiple BOM.	Production Planning and Control with SAP ERP, 2013, ISBN: 9781592298686			1					INTEGER			NR1..3	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/bomId	bill of material identificator			1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial	http://www.iop.rwth-aachen.de/PPC/1/1/billOfMaterial	NON_DEPENDENT_P_DET		Unique identification of the bill of material.	<eigene>			none					STRING			X..40	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition	bom position		@BOPO	1	1								A single raw material, part, assembly, or article that is part of a BOM. A BOM always contains at least one BOM position.	<eigene>												Proposal											['http://www.iop.rwth-aachen.de/PPC/1/1/bomPositionId', 'http://www.iop.rwth-aachen.de/PPC/1/1/partId', 'http://www.iop.rwth-aachen.de/PPC/1/1/name', 'http://www.iop.rwth-aachen.de/PPC/1/1/quantity', 'http://www.iop.rwth-aachen.de/PPC/1/1/baseQuantityUnit']															
http://www.iop.rwth-aachen.de/PPC/1/1/bomPositionId	bom position identificator			1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition	http://www.iop.rwth-aachen.de/PPC/1/1/BOMPosition	NON_DEPENDENT_P_DET		Unique identification of the BOM position.	<eigene>			none					REAL			N..4	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/cancelled	cancelled		@CNCL	1	1								The process was cancelled by customer or manufacturer.	<eigene>												Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/salesDocument', 'http://www.iop.rwth-aachen.de/PPC/1/1/operation', 'http://www.iop.rwth-aachen.de/PPC/1/1/productionOrder']	CNCL							PPC	['http://www.iop.rwth-aachen.de/PPC/1/1/EnumSDStatus', 'http://www.iop.rwth-aachen.de/PPC/1/1/EnumOpStatus', 'http://www.iop.rwth-aachen.de/PPC/1/1/EnumPOStatus']												
http://www.iop.rwth-aachen.de/PPC/1/1/capacityMax	maximum capacity			1	1			A71		['http://www.iop.rwth-aachen.de/PPC/1/1/storage', 'http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition']	NON_DEPENDENT_P_DET		The maximum number or amount of things an asset can carry.	<eigene>			1					REAL			NR2..8.2	Proposal					['http://www.iop.rwth-aachen.de/PPC/1/1/storage', 'http://www.iop.rwth-aachen.de/PPC/1/1/storagePosition']																					
http://www.iop.rwth-aachen.de/IM/1/1/channelType	channel type			1	1			A58	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/temperatureControlDevice	NON_DEPENDENT_P_DET		Defines if the channel type is for hot or cold runners.	<eigene>			none					ENUM_STRING	http://www.iop.rwth-aachen.de/IM/1/1/EnumChType	['http://www.iop.rwth-aachen.de/IM/1/1/hotRunner', 'http://www.iop.rwth-aachen.de/IM/1/1/coldRunner']	X..40	Proposal																										
http://www.iop.rwth-aachen.de/PPC/1/1/chargeState	charge state			1	1			A59	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	['http://www.iop.rwth-aachen.de/PPC/1/1/transportContainer', 'http://www.iop.rwth-aachen.de/PPC/1/1/conveyor']	NON_DEPENDENT_P_DET		True indicates that the transport container is charged  (e.g., by friction). This may handicap the planned/calculated throughput if material adheres to the asset's borders.	<eigene>			none					BOOLEAN			???	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/chemicalLetter	chemical letter			1	1			A62	http://www.iop.rwth-aachen.de/PPC/1/1/part	http://www.iop.rwth-aachen.de/PPC/1/1/plasticsGranulate	NON_DEPENDENT_P_DET		Definition of the exact chemical composition in the form of letters from the periodic table of the elements.	<eigene>			none					STRING			X	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/clampingForce	clamping force	locking force		1	1	F_cl}		K09	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine	NON_DEPENDENT_P_DET		The actual force applied to the mold after closing.	EUROMAP 5			kN	UAA573	t	UAA988	UAD104	INTEGER			NR1..6	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/clampingForceClass	clamping force class	locking force class		1	1			A52	http://www.iop.rwth-aachen.de/PPC/1/1/technicalAsset	http://www.iop.rwth-aachen.de/PPC/1/1/injectionMoldingMachine	NON_DEPENDENT_P_DET		Group of similar injection molding machines with similar clamping forces.	<eigene>			none					INTEGER			N..2	Proposal																										
http://www.iop.rwth-aachen.de/IM/1/1/coldRunner	cold runner		@CLDR	1	1				http://www.iop.rwth-aachen.de/PPC/1/1/temperatureControlDevice				The spure, runner(s), and gate(s) of the melt, like the melt in the cavity(ies), all solified by the cooling action of the mold. This mold design produces solidified spure and runner(s) that are usually granulated and recycled.	Injection Molding Handbook, 3 ed., 2000, ISBN: 9781461545972												Proposal						CLDR	http://www.iop.rwth-aachen.de/IM/1/1/EnumChType																			
